;Schw. (hp);wl_lett;wl_syll;one_syll;more_syll;long_w;lh_ran;lh_freq;lh_infr;lh_inv;lh_100;lhsw_ran;lhsw_freq;lhsw_lnfr;lhsw_inv;lhsw_100;wh_ran;wh_freq;wh_lnfr;wh_100;whsw_ran;whsw_freq;whsw_lnfr;whsw_100;rr_10;rr_25;rr_30;rr_40;rr_50;rr_60;rr_75;rr_80;rr_85;rr_90;ttr;ttr_sq;ttr_hd;ttrsw;ttrsw_sq;ttrsw_hd;i/f;f/i;i/w;f/w;L;R;nr;vr;nstv;fvr;ivr;fir;syn;lnsyn;synsw;lnsynsw;syn500;1sg;2sg;3sg;1pl;2pl;3pl;n3;prs;imperf;perf;pqp;fut1;fut2;nprs;nprprf;ind;sub;imp;nind;act;pass;nom;gen;dat;acc;abl;lem;ana;mult_lem;kon;pr_w;pr_n;pr_s;pr12_w;pr12_n;pr12_s;prpo_w;prpo_n;prpo_s;prps_w;prps_n;prps_s;kr_2;kr_3;kr_all;krn_2;krn_3;krn_all;sim_wn;sim_wup;lsa;lsa_2;sl;cl;v1w;v1s;ovs;ovw;svoc;svow;wvps;wvpw;depl;tu;stw;stt;stn;nsw;nst;nss;fnsw;fnst;fnss;fnsns;haa;hga;haga;haw;hgw;hagw;haha;hghg;haghag;vH_w;vH_H;ch;verschr. RS;R+K;R+I;R. SA;Sup I;Sup II;Ger. ohne esse;Ger. prädik.;Gerundium;ind. Rede;AcI;NcI;hist. Inf.;Inf.-Konstr.;ind. FS;quin-S.;fakt. quod;Komp. S.;Kond. S.;cum + K;cum + I;Konzessiv S.;Konsek. S.;Temp. S.;Final S.;Kausal S.;Konj. HS;Attr. Part.;Abl. Abs.;PC;Prädikativum;Dat. fin.;Abl. comp.;Gen. qual.;Abl. qual.;Dat. auct.;Dat. poss.;Imp.;Passiv;Ellipse;LEF;Anzahl SE;differente SE;Rel.sätze;nd-Formen;Infinitive;NS;Part.;Kasus;SE_optimum;**lex. Variablen ohne Anmerkungen**;wl_lett;wl_syll;one_syll;more_syll;long_w;lh_ran;lh_freq;lh_infr;lh_inv;lh_100;lhsw_ran;lhsw_freq;lhsw_lnfr;lhsw_inv;lhsw_100;wh_ran;wh_freq;wh_lnfr;wh_100;whsw_ran;whsw_freq;whsw_lnfr;whsw_100;rr_10;rr_25;rr_30;rr_40;rr_50;rr_60;rr_75;rr_80;rr_85;rr_90;ttr;ttr_sq;ttr_hd;ttrsw;ttrsw_sq;ttrsw_hd;i/f;f/i;i/w;f/w;L;R;nr;vr;nst;fvr;ivr;fir;syn;lnsyn;synsw;lnsynsw;syn500;**Genre etc.**;Genre_1;Genre_2;Narrativität;Inhalt
Text_11;5,192;6,369;2,646;0,185;0,528;0,595;352,728;6426,456;6,441;1,499;4,056;453,906;1045,416;5,448;1,496;4,98;453,277;2594,051;4,74;4,928;572,275;232,067;3,553;6,034;0,605;0,487;0,472;0,431;0,354;0,287;0,205;0,174;0,128;0,067;0,774;10,813;0,952;0,852;10,404;0,968;3,239;0,309;0,764;0,236;151,657;0,971;0,342;0,153;0,448;0,108;0,097;0,525;17,815;1,348;15,636;1,074;3,236;0;0;0,917;0;0;0,083;0;0,167;0,333;0,292;0,208;0;0;0,833;0,542;0,542;0,458;0;0,458;0,792;0,208;0,236;0,2;0,055;0,309;0,2;1,528;3,810;0,349;0,082;0,077;0,246;1,364;0;0;0;0,005;0,016;0,091;0,015;0,049;0,273;0,041;0,072;0,108;0,021;0,036;0,062;0,378;0,531;0,346;0,642;18;5,000;0,101;0,182;0,043;0,051;0,043;0,051;5,636;0,313;3,337;15,000;20,513;3,077;1,538;13,333;2,000;2,364;6,667;1,000;1,182;0,500;0,000;0,513;0,513;0,000;1,026;1,026;0,000;2,000;2,000;0,000;0,000;2,051;0,000;0,010;0,005;0,000;0,000;0,000;0,000;0,005;0,010;0,010;0,015;0,000;0,005;0,005;0,000;0,000;0,000;0,000;0,005;0,000;0,000;0,000;0,031;0,010;0,005;0,000;0,000;0,021;0,010;0,015;0,005;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,010;0,000;0,005;0,169;17;0,036;0,040;0,078;0,106;0,120;0,000;0,068;;6,366;2,644;0,186;0,526;0,593;350,149;6459,082;6,451;1,501;4,031;451,209;1051,824;5,454;1,499;4,953;451,526;2607,402;4,757;4,912;570,784;233,608;3,567;6,02;0,603;0,485;0,469;0,428;0,351;0,284;0,201;0,170;0,124;0,067;0,773;10,769;0,951;0,851;10,357;0,968;3,217;0,311;0,763;0,237;150,657;0,971;0,344;0,154;0,448;0,104;0,098;0,513;17,84;1,342;15,649;1,067;3,247;;Prosa;Geschichtsschreibung;informativ;Tod
Text_12;3,918;5,549;2,338;0,246;0,436;0,503;251,779;9909,913;6,22;0,264;3,046;345,101;919,551;4,679;0,260;3,841;341,508;4572,938;4,881;3,821;459,123;181,92;3,226;4,87;0,477;0,364;0,333;0,287;0,246;0,200;0,123;0,103;0,067;0,036;0,692;9,668;0,93;0,819;9,619;0,959;2,421;0,413;0,708;0,292;139,567;0,94;0,308;0,133;0,433;0,082;0,088;0,485;16,056;1,287;12,636;0,827;2,903;0;0;0,519;0,037;0;0,444;0,037;0,231;0,423;0,192;0,154;0;0;0,769;0,577;0,808;0,192;0;0,192;0,962;0,038;0,261;0,13;0,022;0,217;0,37;1,395;3,123;0,282;0,082;0,108;0,356;1,5;0;0;0;0,005;0,017;0,071;0,036;0,119;0,5;0,041;0,092;0,108;0,031;0,041;0,051;0,4;0,488;0,452;0,956;14;5,909;0,051;0,071;0,062;0,051;0;0;5,643;0,403;3,577;13,929;13,333;1,857;1,368;9,744;1,357;1,357;5,641;0,786;0,786;0,579;0,513;0,513;1,026;2,564;6,667;9,231;5,000;13,000;9,000;0,000;0,000;1,026;0,000;0,005;0,015;0,000;0,000;0,000;0,000;0,000;0,005;0,000;0,005;0,000;0,000;0,010;0,000;0,000;0,000;0,000;0,000;0,010;0,000;0,000;0,010;0,005;0,000;0,005;0,000;0,000;0,005;0,031;0,015;0,000;0,000;0,000;0,000;0,000;0,005;0,000;0,005;0,000;0,000;0,128;14;0,037;0,014;0,026;0,063;0,113;0,010;0,028;;5,44;2,293;0,261;0,413;0,484;250,549;10496,641;6,493;0,243;3,054;351,402;990,921;4,94;0,239;3,921;349,87;4845,38;5,123;3,924;481,425;196,315;3,433;5,11;0,484;0,364;0,337;0,288;0,245;0,196;0,114;0,092;0,054;0,027;0,685;9,289;0,927;0,819;9,229;0,959;2,228;0,449;0,69;0,31;130,567;0,936;0,321;0,125;0,39;0,082;0,087;0,484;14,522;1,307;10,897;0,82;2,995;;Prosa;Geschichtsschreibung;narrativ;Flucht
Text_13;5,540;5,918;2,462;0,26;0,486;0,519;238,067;9915,553;7,323;0,807;2,966;371,608;1530,431;5,837;0,804;4,146;364,986;4171,793;5,583;4,115;539,954;307,085;3,774;5,715;0,447;0,327;0,303;0,236;0,231;0,188;0,125;0,111;0,043;0,024;0,644;9,291;0,918;0,808;9,209;0,956;1,667;0,6;0,625;0,375;136,721;0,948;0,25;0,151;0,604;0,12;0,077;0,61;15,5;1,416;12,178;0,97;3,327;0,207;0;0,207;0,103;0,069;0,414;0,379;0,621;0,241;0,103;0,034;0;0;0,379;0,276;0,655;0,345;0;0,345;0,828;0,172;0,159;0,136;0;0,386;0,318;1,466;3,010;0,312;0,12;0,207;0,935;3,071;0,024;0,109;0,357;0,01;0,043;0,143;0,034;0,152;0,5;0,072;0,125;0,115;0,062;0,106;0,087;0,553;0,676;0,728;0,642;19;5,943;0,096;0,182;0,12;0,144;0,04;0,048;7,545;0,397;4,061;10,947;8,654;0,947;1,125;7,692;0,842;1,455;5,288;0,579;1,000;0,688;0,962;0,000;0,962;1,442;0,000;1,442;1,500;0,000;1,500;0,000;0,000;1,442;0,000;0,000;0,014;0,000;0,000;0,000;0,005;0,000;0,000;0,010;0,019;0,000;0,000;0,014;0,005;0,000;0,000;0,000;0,019;0,010;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,005;0,000;0,000;0,000;0,005;0,000;0,000;0,000;0,000;0,000;0,000;0,106;10;0,022;0,015;0,083;0,078;0,012;0,011;0,011;;5,818;2,396;0,271;0,464;0,505;218,016;10539,385;7,579;0,152;2,771;348,179;1649,162;6,139;0,149;3,906;358,917;4440,698;5,77;4,073;541,735;327,06;3,945;5,752;0,438;0,307;0,281;0,214;0,208;0,161;0,094;0,078;0,016;0,000;0,62;8,588;0,909;0,795;8,598;0,952;1,56;0,641;0,609;0,391;121,721;0,942;0,231;0,149;0,644;0,12;0,078;0,605;15,995;1,454;12,49;0,986;3,438;;Prosa;Rede;systematisch;Bildung
Text_14;9,892;5,583;2,328;0,137;0,392;0,471;421,657;6014,652;5,869;2,074;4,75;525,267;887,547;4,875;2,071;5,72;478,431;2668,681;4,304;5,152;581,242;192,478;3,212;6,099;0,652;0,554;0,529;0,490;0,461;0,402;0,328;0,265;0,221;0,147;0,819;11,692;0,962;0,888;11,27;0,977;3,744;0,267;0,789;0,211;168,479;0,972;0,42;0,161;0,384;0,143;0,099;0,592;14,691;1,375;10,711;1,021;3,103;0,03;0;0,788;0;0,03;0,152;0,061;0,406;0,25;0,312;0,031;0;0;0,594;0,281;0,969;0,031;0;0,031;0,969;0,031;0,276;0,079;0,013;0,289;0,342;1,500;3,662;0,328;0,074;0,074;0,176;0,789;0,01;0,024;0,105;0,02;0,047;0,211;0;0;0;0,015;0,02;0,069;0,01;0,01;0,049;0,269;0,452;0,15;0,64;10,55;4,857;0,332;0,35;0;0;0,036;0,047;3;0,284;2,686;7,034;6,863;0,483;1,077;6,373;0,448;0,650;2,941;0,207;0,300;0,462;12,255;0,980;13,235;23,529;1,471;25,000;1,920;1,500;1,889;2,451;0,185;2,451;0,000;0,000;0,020;0,000;0,000;0,000;0,000;0,000;0,005;0,000;0,020;0,000;0,000;0,010;0,000;0,000;0,000;0,000;0,000;0,005;0,005;0,000;0,000;0,000;0,000;0,000;0,000;0,034;0,005;0,015;0,010;0,000;0,000;0,000;0,000;0,000;0,000;0,010;0,000;0,005;0,000;0,137;12;0,030;0,014;0,047;0,022;0,156;0,000;0,014;;5,474;2,292;0,146;0,365;0,438;409,104;6389,891;6,129;1,804;4,63;517,436;958,154;5,131;1,801;5,644;475,255;2835,344;4,541;5,141;585,43;207,812;3,429;6,161;0,651;0,547;0,521;0,479;0,448;0,385;0,307;0,240;0,193;0,115;0,812;11,258;0,961;0,886;10,814;0,976;3,465;0,289;0,776;0,224;157,479;0,97;0,425;0,161;0,378;0,146;0,083;0,636;14,932;1,406;10,703;1,03;3,234;;Poesie;Elegie;informativ;Liebe
Text_15;5,870;5,775;2,355;0,142;0,396;0,503;463,74;6314,183;6,132;1,444;5,178;552,683;938,23;5,334;1,440;5,993;549,509;3434,675;4,434;5,882;649,353;134,417;3,483;6,813;0,728;0,627;0,592;0,544;0,479;0,432;0,343;0,278;0,237;0,142;0,828;10,769;0,963;0,914;10,772;0,982;4,633;0,216;0,822;0,178;141,479;0,967;0,402;0,142;0,353;0,136;0,089;0,605;19,467;1,445;17,521;1,216;4,426;0;0,038;0,808;0;0;0,154;0,038;0,654;0,192;0,154;0;0;0;0,346;0,192;0,962;0,038;0;0,038;0,962;0,038;0,203;0,062;0;0,328;0,406;1,432;3,166;0,325;0,077;0,077;0,188;1,3;0;0;0;0;0;0;0;0;0;0,018;0,036;0,065;0,018;0,03;0,041;0,46;0,67;0,174;0,57;15,909;5,281;0,171;0,273;0,125;0,171;0,167;0,229;5,364;0,337;3,098;7,682;7,692;0,591;1,300;5,917;0,455;0,909;3,550;0,273;0,545;0,600;11,834;0,000;11,834;18,935;0,000;18,935;1,600;0,000;1,600;1,775;0,150;1,775;0,000;0,000;0,006;0,012;0,000;0,000;0,000;0,006;0,000;0,000;0,000;0,000;0,000;0,006;0,000;0,000;0,000;0,000;0,018;0,000;0,000;0,000;0,000;0,006;0,000;0,000;0,000;0,018;0,000;0,024;0,000;0,000;0,006;0,006;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,107;10;0,037;0,014;0,011;0,052;0,095;0,028;0,042;;5,673;2,302;0,151;0,377;0,478;443,692;6706,138;6,34;1,064;4,981;534,868;1004,597;5,53;1,060;5,814;539,667;3649,981;4,597;5,799;644,961;143,961;3,612;6,783;0,717;0,61;0,572;0,528;0,459;0,409;0,314;0,245;0,201;0,107;0,824;10,389;0,962;0,915;10,389;0,982;4,3;0,233;0,811;0,189;132,479;0,965;0,384;0,145;0,377;0,138;0,094;0,595;19,415;1,475;17,346;1,233;4,579;;Poesie;Epos;narrativ;Tod
Text_16;4,059;5,557;2,341;0,157;0,373;0,476;349,622;8656,659;6,923;1,727;4,114;456,05;1279,583;5,955;1,724;5,115;468,822;3569,795;5,067;5,157;590,568;243,676;3,942;6,302;0,643;0,503;0,465;0,384;0,351;0,292;0,173;0,157;0,108;0,076;0,773;10,514;0,951;0,856;10,093;0,969;3,022;0,331;0,751;0,249;146,780;0,949;0,308;0,238;0,772;0,199;0,075;0,725;19,551;1,617;16,065;1,282;4,595;0,023;0,045;0,614;0,068;0,091;0,159;0,227;0,727;0,068;0,159;0,045;0;0;0,273;0,114;0,886;0,045;0,068;0,114;0,886;0,114;0,25;0,1;0,033;0,283;0,333;1,508;3,595;0,395;0,038;0,097;0,29;0,643;0,016;0,048;0,107;0,022;0,065;0,143;0,005;0,016;0,036;0,016;0,027;0,097;0,011;0,011;0,032;0,243;0,338;0,552;0,671;6,964;4,111;0,615;0,429;0;0;0;0;2,179;0,313;2,251;4,405;1,622;0,071;1,000;1,622;0,071;0,107;1,622;0,071;0,107;1,000;6,486;0,000;6,486;9,730;0,000;9,730;1,500;0,000;1,500;0,000;0,000;1,081;0,000;0,000;0,011;0,005;0,000;0,000;0,000;0,005;0,000;0,000;0,000;0,005;0,000;0,005;0,000;0,000;0,000;0,005;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,011;0,038;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,016;0,011;0,000;0,000;0,103;10;0,029;0,012;0,021;0,015;0,100;0,000;0,040;;5,46;2,292;0,174;0,354;0,46;309,267;9414,565;7,285;1,458;3,727;414,381;1442,424;6,329;1,455;4,712;455,068;3953,037;5,338;5,037;583,958;269,169;4,196;6,254;0,621;0,466;0,422;0,342;0,304;0,242;0,106;0,099;0,062;0,031;0,764;9,694;0,947;0,856;9,298;0,967;2,744;0,364;0,733;0,267;125,819;0,948;0,28;0,267;0,956;0,211;0,087;0,708;19,05;1,662;16,478;1,325;4,783;;Poesie;Elegie;narrativ;Liebe
Text_17;1,513;5,754;2,372;0,226;0,432;0,487;292,688;7890,457;6,607;1,23;3,472;401,057;1204,319;5,387;1,226;4,468;398,553;3380,171;5,004;4,407;535,05;238,993;3,521;5,667;0,528;0,417;0,382;0,342;0,281;0,236;0,131;0,111;0,085;0,065;0,789;11,129;0,955;0,901;10,695;0,979;2,431;0,411;0,709;0,291;158,893;0,964;0,26;0,16;0,615;0,156;0,055;0,738;18,085;1,25;15,854;0,973;3,402;0,237;0,105;0,605;0;0;0,053;0,342;0,556;0,028;0,333;0,028;0,028;0,028;0,444;0,111;0,861;0,083;0,056;0,139;0,833;0,167;0,111;0,111;0,044;0,289;0,444;1,623;3,623;0,402;0,106;0,141;0,622;1,4;0,04;0,178;0,4;0,03;0,133;0,3;0,015;0,067;0,15;0,015;0,025;0,055;0,005;0,005;0,015;0,205;0,267;0,078;0,665;9,667;5,103;0,394;0,381;0,091;0,148;0;0;2,524;0,261;2,934;7,960;9,045;0,720;1,286;7,035;0,560;0,667;5,025;0,400;0,476;0,714;0,503;0,503;1,005;0,503;1,005;1,508;1,000;2,000;1,500;0,000;0,000;0,503;0,000;0,000;0,015;0,000;0,000;0,000;0,005;0,000;0,005;0,000;0,005;0,000;0,000;0,000;0,000;0,000;0,010;0,005;0,010;0,005;0,000;0,000;0,005;0,005;0,000;0,005;0,000;0,015;0,000;0,005;0,005;0,000;0,000;0,005;0,000;0,000;0,000;0,000;0,020;0,000;0,000;0,106;16;0,023;0,030;0,007;0,102;0,063;0,012;0,028;;5,457;2,247;0,242;0,392;0,452;262,349;8436,167;6,891;0,324;3,172;367,977;1318,242;5,675;0,321;4,133;383,876;3616,102;5,281;4,285;527,586;262,805;3,773;5,617;0,505;0,387;0,349;0,306;0,247;0,199;0,091;0,070;0,043;0,027;0,774;10,559;0,951;0,891;10,076;0,976;2,207;0,453;0,688;0,312;145,893;0,961;0,253;0,167;0,66;0,156;0,043;0,784;18,667;1,272;16,28;0,975;3,57;;Prosa;Brief;informativ;Tod
Text_18;6,210;5,271;2,211;0,193;0,307;0,413;336,367;7325,399;6,073;1,13;3,858;411,625;1119,267;5,144;1,128;4,528;416,876;3352,917;4,425;4,541;506,642;214,511;3,321;5,358;0,56;0,477;0,463;0,427;0,349;0,280;0,17;0,142;0,110;0,055;0,761;11,243;0,949;0,818;10,854;0,961;4,19;0,239;0,807;0,193;168,307;0,964;0,33;0,202;0,611;0,174;0,073;0,704;10,344;1,155;8,679;0,922;4,147;0,091;0,227;0,409;0,023;0,068;0,182;0,409;0,841;0;0,068;0;0,068;0;0,159;0,091;0,636;0,114;0,25;0,364;0,932;0,068;0,233;0,083;0,017;0,4;0,25;1,550;3,716;0,353;0,055;0,11;0,358;1,263;0,046;0,149;0,526;0,032;0,104;0,368;0,014;0,045;0,158;0,023;0,05;0,142;0,005;0,023;0,064;0,299;0,405;0,138;0,852;10,476;4,717;0,182;0,19;0,027;0,045;0,027;0,045;2,905;0,277;2,729;7,000;7,373;0,516;1,067;6,912;0,484;0,714;4,147;0,290;0,429;0,600;9,217;0,922;10,138;16,129;1,843;17,972;1,750;2,000;1,773;0,922;0,091;1,843;0,000;0,005;0,014;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,014;0,000;0,000;0,009;0,000;0,000;0,000;0,000;0,005;0,000;0,005;0,000;0,005;0,000;0,000;0,000;0,005;0,032;0,000;0,009;0,018;0,000;0,000;0,000;0,000;0,000;0,005;0,005;0,005;0,000;0,000;0,129;14;0,034;0,000;0,037;0,030;0,150;0,009;0,013;;5,211;2,181;0,201;0,284;0,392;325,598;7824,721;6,351;0,612;3,77;404,568;1211,71;5,414;0,610;4,475;418,863;3582,294;4,649;4,578;516,901;232,136;3,508;5,475;0,559;0,471;0,456;0,417;0,333;0,260;0,152;0,123;0,088;0,044;0,75;10,712;0,946;0,809;10,292;0,958;3,857;0,259;0,794;0,206;155,307;0,961;0,328;0,211;0,642;0,181;0,074;0,712;10,814;1,19;9,034;0,942;4,363;;Poesie;Elegie;deskriptiv;Tod
Text_19;3,065;5,442;2,378;0,276;0,455;0,5;194,827;9855,622;6,78;0,128;2,449;271,713;1707,565;5,415;0,125;3,083;323,109;3624,417;5,218;3,654;433,87;338,491;3,702;4,639;0,429;0,295;0,276;0,192;0,141;0,103;0,051;0,045;0,019;0,006;0,705;8,807;0,931;0,833;8,66;0,961;2,25;0,444;0,692;0,308;112,307;0,946;0,314;0,199;0,633;0,122;0,109;0,528;14,994;1,436;12,41;1,021;4,397;0;0,042;0,75;0;0;0,208;0,042;0,5;0,208;0,125;0,125;0;0,042;0,5;0,375;0,917;0,083;0;0,083;0,917;0,083;0,194;0,056;0,056;0,278;0,417;1,333;2,833;0,269;0,077;0,128;0,5;2,5;0;0;0;0;0;0;0,045;0,175;0,875;0,077;0,109;0,109;0,058;0,083;0,083;0,51;0,653;0,933;0,691;15,7;4,457;0;0;0;0;0;0;9,3;0,592;3,707;15,600;23,718;3,700;1,480;16,026;2,500;2,500;8,333;1,300;1,300;0,520;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,641;0,000;0,000;0,026;0,000;0,000;0,000;0,000;0,013;0,000;0,000;0,038;0,000;0,000;0,006;0,006;0,000;0,000;0,006;0,019;0,000;0,000;0,000;0,000;0,019;0,000;0,006;0,000;0,000;0,019;0,019;0,006;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,006;0,186;12;0,039;0,029;0,068;0,128;0,097;0,000;0,047;;5,349;2,342;0,282;0,436;0,483;187,295;10031,174;6,769;0,123;2,369;263,363;1756,265;5,356;0,120;2,99;310,839;3539,007;5,247;3,53;419,314;351,529;3,706;4,49;0,409;0,282;0,262;0,188;0,134;0,101;0,047;0,040;0,020;0,007;0,711;8,684;0,932;0,843;8,515;0,963;2,17;0,461;0,685;0,315;108,307;0,944;0,295;0,201;0,682;0,121;0,107;0,529;12,483;1,412;9,785;0,978;4,141;;Prosa;Geschichtsschreibung;informativ;Rhetorik
Text_20;5,691;5,672;2,359;0,198;0,422;0,49;417,047;8450,068;6,34;2,548;4,745;540,83;932,796;5,181;2,546;5,891;509,724;3331,812;4,519;5,5;645,946;122,98;3,199;6,762;0,651;0,547;0,542;0,495;0,411;0,380;0,302;0,260;0,229;0,151;0,76;10,537;0,948;0,898;10,887;0,978;3,267;0,306;0,766;0,234;148,307;0,952;0,335;0,155;0,462;0,109;0,094;0,538;7,688;1,123;6,354;0,921;4,016;0,226;0,097;0,387;0,032;0,032;0,226;0,387;0,621;0;0,31;0;0,069;0;0,379;0,069;0,897;0,034;0,069;0,103;0,931;0,069;0,311;0,115;0;0,18;0,393;1,448;3,755;0,292;0,021;0,135;0,4;1,857;0,073;0,215;1;0,016;0,046;0,214;0,057;0,169;0,786;0,052;0,057;0,062;0,021;0,021;0,031;0,659;0,956;0,298;0,765;13,2;5,486;0,202;0,267;0,045;0,051;0,045;0,051;4,333;0,328;3,705;7,385;5,208;0,385;1,111;4,688;0,346;0,600;1,563;0,115;0,200;0,333;9,375;1,042;10,417;17,188;2,083;19,271;1,833;2,000;1,850;0,521;0,050;2,083;0,000;0,000;0,010;0,000;0,000;0,000;0,005;0,000;0,000;0,000;0,005;0,000;0,000;0,000;0,005;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,005;0,000;0,000;0,000;0,021;0,010;0,021;0,000;0,000;0,042;0,000;0,000;0,005;0,005;0,021;0,000;0,010;0,000;0,156;13;0,016;0,016;0,008;0,024;0,120;0,121;0,010;;5,474;2,281;0,222;0,38;0,45;370,31;9454,246;6,746;1,057;4,287;498,032;1042,73;5,539;1,055;5,46;485,433;3739,316;4,902;5,292;635,683;141,214;3,498;6,69;0,62;0,509;0,503;0,450;0,357;0,322;0,234;0,193;0,158;0,088;0,731;9,559;0,939;0,881;9,889;0,974;2,8;0,357;0,737;0,263;127,307;0,945;0,341;0,145;0,424;0,1;0,076;0,567;7,749;1,122;6,251;0,895;4,111;;Poesie;Epos;deskriptiv;Liebe
Text_21;4,603;5,582;2,37;0,322;0,428;0,466;204,428;9932,591;7,323;0,187;2,635;308,684;2258,105;5,957;0,184;3,541;300,053;4679,784;5,678;3,438;430,534;444,564;3,964;4,594;0,394;0,26;0,236;0,216;0,197;0,173;0,096;0,062;0,043;0,010;0,654;9,43;0,92;0,805;9,278;0,956;1,773;0,564;0,639;0,361;137,485;0,958;0,286;0,138;0,483;0,12;0,077;0,61;22,635;1,369;20,24;1,054;3,952;0,094;0;0,562;0,125;0,094;0,125;0,312;0,697;0,152;0,061;0;0,091;0;0,303;0,242;0,606;0,364;0,03;0,394;0,909;0,091;0,327;0,163;0;0,143;0,347;1,375;3,226;0,264;0,082;0,154;0,593;2,462;0,043;0,167;0,692;0,019;0,074;0,308;0,038;0,148;0,615;0,029;0,067;0,125;0,024;0,048;0,077;0,406;0,545;0,185;0,476;14,929;5,474;0,144;0,214;0,037;0,048;0;0;4,143;0,278;3,144;10,947;11,538;1,263;1,263;9,135;1,000;1,357;7,212;0,789;1,071;0,789;0,962;0,000;0,962;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,923;0,000;0,014;0,019;0,000;0,000;0,000;0,005;0,010;0,000;0,000;0,000;0,000;0,000;0,005;0,000;0,000;0,000;0,000;0,014;0,000;0,000;0,000;0,019;0,000;0,000;0,000;0,005;0,000;0,010;0,010;0,005;0,000;0,000;0,000;0,000;0,000;0,000;0,005;0,010;0,000;0,000;0,120;13;0,069;0,037;0,009;0,073;0,053;0,000;0,061;;5,495;2,337;0,332;0,411;0,45;196,639;10201,743;7,401;0,155;2,559;301,22;2323,63;6,017;0,152;3,465;290,931;4817,059;5,795;3,356;422,189;462,819;4,069;4,52;0,386;0,252;0,228;0,208;0,188;0,163;0,089;0,054;0,035;0,005;0,644;9,147;0,917;0,795;8,962;0,953;1,693;0,591;0,629;0,371;131,485;0,956;0,286;0,128;0,448;0,114;0,079;0,59;20,495;1,349;18,03;1,024;3,817;;Prosa;Rede;systematisch;Rhetorik
Text_22;4,715;5,123;2,151;0,307;0,335;0,425;255,302;7612,274;6,845;1,316;3,128;390,378;1460,189;5,294;1,311;4,369;347,402;3679,363;5,238;3,916;492,027;217,586;3,361;5,225;0,486;0,352;0,291;0,263;0,235;0,201;0,156;0,134;0,101;0,061;0,698;9,343;0,931;0,82;8,637;0,958;1,632;0,613;0,62;0,38;127,307;0,952;0,155;0,238;1,536;0,24;0,073;0,768;21;1,364;17,966;0,978;2,966;0,317;0,366;0,293;0;0;0,024;0,683;0,634;0,049;0,098;0,024;0,171;0,024;0,366;0,268;0,512;0,268;0,22;0,488;0,951;0,049;0,211;0;0;0,421;0,263;1,369;2,642;0,268;0,128;0,212;1,52;1,81;0,078;0,56;0,667;0,017;0,12;0,143;0,078;0,56;0,667;0,056;0,089;0,095;0;0;0,011;0,165;0,196;1,717;0,508;8,136;3,978;0,503;0,409;0,026;0,056;0;0;2,364;0,291;2,758;7,458;15,642;1,167;1,333;11,732;0,875;0,955;8,939;0,667;0,727;0,762;1,117;0,000;1,117;2,793;0,000;2,793;2,500;0,000;2,500;0,000;0,000;0,000;0,000;0,011;0,006;0,000;0,006;0,000;0,000;0,000;0,000;0,000;0,022;0,000;0,000;0,011;0,011;0,006;0,000;0,000;0,017;0,000;0,000;0,000;0,028;0,000;0,006;0,000;0,011;0,000;0,006;0,000;0,017;0,000;0,000;0,000;0,000;0,000;0,011;0,017;0,000;0,017;0,000;0,184;16;0,039;0,000;0,053;0,153;0,055;0,022;0,031;;5,097;2,142;0,313;0,33;0,415;248,96;7719,886;6,886;1,047;3,068;383,796;1464,667;5,317;1,042;4,306;341,216;3740,602;5,269;3,852;485,963;221,222;3,359;5,157;0,483;0,347;0,284;0,256;0,227;0,193;0,148;0,125;0,091;0,057;0,693;9,196;0,929;0,815;8,468;0,956;1,588;0,63;0,614;0,386;124,307;0,951;0,157;0,23;1,464;0,244;0,074;0,768;21,267;1,365;18,182;0,972;2,972;;Poesie;Komödie;deskriptiv;Liebe
